,Publication Title,All Science Classification Codes (ASJC),Item Title,Publication Year,in/out,use types,census,notes
181,British Journal of Cancer,1306; 2730; ,"Factors associated with timeliness of post-primary care referral, diagnosis and treatment for lung cancer: Population-based, data-linkage study",2014,in,"ancillary data source for new analysis (e.g., as base map)",,
182,British Journal of Clinical Pharmacology,2736; 3004; ,Early signal of diverted use of tropicamide eye drops in France,2017,in,main data source for new analysis,,
183,British Journal of General Practice,2714; ,The content of general practice consultations: Cross-sectional study based on video recordings,2013,in,"ancillary data source for new analysis (e.g., as base map)",,
184,British Journal of General Practice,2714; ,The Public Health Impact score: A new measure of public health effectiveness for general practices in England,2013,in,main data source for new analysis,,
185,British Journal of General Practice,2714; ,Implications of comorbidity for primary care costs in the UK: A retrospective observational study,2013,in,"ancillary data source for new analysis (e.g., as base map)",,
186,British Journal of Haematology,2720; ,Pregnancy outcomes in myeloproliferative neoplasms: UK prospective cohort study,2016,in,main data source for new analysis,,
187,British Journal of Health Psychology,3202; 2700; ,A pilot randomized controlled trial to increase smoking cessation by maintaining National Health Service Stop Smoking Service attendance,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
188,British Journal of Surgery,2746; ,Pretreatment health measures and complications after surgical management of elderly women with breast cancer,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
189,British Journal of Surgery,2746; ,Phase III development of the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire module for women undergoing breast reconstruction,2014,in,Providing study background,,
190,Bryologist,1110; 1105; ,"Macrolichen substrate selection: Patterns among aspen, non-aspen hardwood, and conifer-dominated forests in the Wasatch Mountains, Utah",2015,in,main data source for new analysis,,
191,Building and Environment,2215; 3305; 2205; 2305; ,Assessing overheating of the UK existing dwellings - A case study of replica Victorian end terrace house,2014,in,Providing study background,,
192,Building Research and Information,2215; 2205; ,Intent and outcomes from the Retrofit for the Future programme: Key lessons,2015,in,others,,part of the meta study
193,Building Research and Information,2215; 2205; ,"Retrofitting existing housing: How far, how much?",2013,in,Providing study background,,
194,Bulletin of the Atomic Scientists,3320; ,Three Mile Island: The driver of US nuclear power's decline?,2013,in,main data source for new analysis,,
195,"Cambridge Journal of Regions, Economy and Society",2002; 3312; 3305; ,Regional performance and inequality: Linking economic and social development through a capabilities approach,2012,in,main data source for new analysis,,multi-source
196,Canadian Journal of Fisheries and Aquatic Sciences,1104; 1105; ,"Recent failure to control sea louse outbreaks on salmon in the Broughton Archipelago, British Columbia",2016,in,"ancillary data source for new analysis (e.g., as base map)",,not sure of usage type
197,Canadian Journal of Forest Research,2303; 1107; 2306; ,Forest diversity as a factor influencing engelmann spruce resistance to beetle outbreaks,2014,in,Providing study background,,
198,Cancer Epidemiology,1306; 2730; 2713; ,Cancer patient survival in Estonia 1995-2009: Time trends and data quality,2014,in,main data source for new analysis,,
199,Cartographica,1904; ,A tessellation-based methodology for an interactive analysis of the arctic ice dynamic phenomenon with spatial online analytical processing,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
200,Cataloging and Classification Quarterly,3309; ,Automated SKOS vocabulary design for the biopharmaceutical industry,2016,in,aiding result interpreting,,
201,Catena,1904; ,"Recruitment and decay rate of Acacia seedlings in the hyper-arid Arava Valley, Israel",2015,in,Providing study background,,
202,Central European Journal of Public Health,2739; 2700; ,Changes over fourteen years in adult obesity in Estonia: Socioeconomic status and use of outpatient health services,2010,in,Providing study background,,
203,Child Abuse and Neglect,2738; 3204; 2735; ,Maltreatment experiences and associated factors prior to admission to residential care: A sample of institutionalized children and youth in western Kenya,2013,in,Providing study background,,
204,Child and Adolescent Psychiatry and Mental Health,2738; 2735; ,"The prevalence and incidence, resource use and financial costs of treating people with attention deficit/hyperactivity disorder (ADHD) in the united kingdom (1998 to 2010)",2013,in,"ancillary data source for new analysis (e.g., as base map)",,
205,Child and Family Social Work,3312; 3306; ,Adoption disclosure: experiences of Indian domestic adoptive parents,2017,in,Providing study background,,
206,Child Language Teaching and Therapy,3616; 3310; 3203; 3204; 1203; 3304; ,Supporting language in schools: Evaluating an intervention for children with delayed language in the early school years,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
207,Children's Geographies,3312; 3305; 3207; ,Does neighbourhood count in affecting children's journeys to schools?,2015,in,main data source for new analysis,,multi-soures
209,Cities,1409; 3322; 3312; 3303; ,Under-supply of schooling in the gentrified and regenerated inner city,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
210,Cities,1409; 3322; 3312; 3303; ,Perspectives on five decades of the urban greening of Singapore,2013,in,main data source for new analysis,,
211,Cities,1409; 3322; 3312; 3303; ,Rethinking public land ownership and urban development: A Canadian perspective,2016,in,aiding result interpreting,,
212,City,3322; 3305; ,"It's not for us': Regeneration, the 2012 Olympics and the gentrification of East London",2013,in,others,,
214,City and Community,3322; ,Nice-Nastiness and Other Raced Social Interactions on Public Transport Systems,2015,in,Providing study background,y,
215,Climate Dynamics,1902; ,Spatial variation of different rain systems during El Ni帽o and La Ni帽a periods over India and adjoining ocean,2017,in,main data source for new analysis,,
216,Climatic Change,1902; 2306; ,Effects of local drought condition on public opinions about water supply and future climate change,2015,in,main data source for new analysis,,
217,Climatic Change,1902; 2306; ,Risk matrix approach useful in adapting agriculture to climate change,2016,in,main data source for new analysis,,
218,Climatic Change,1902; 2306; ,An integrated approach for assessing flood impacts due to future climate and socio-economic conditions and the scope of adaptation in Europe,2015,in,main data source for new analysis,,newly added composite dataset after discussion with Nic
220,Clinical Infectious Diseases,2725; 2726; ,"Neonatal invasive haemophilus influenzae disease in England and Wales: Epidemiology, clinical characteristics, and outcome",2015,in,"ancillary data source for new analysis (e.g., as base map)",,
221,Clinical Infectious Diseases,2725; 2726; ,Immune Serum from Sabin Inactivated Poliovirus Vaccine Immunization Neutralizes Multiple Individual Wild and Vaccine-Derived Polioviruses,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
222,Clinical Radiology,2741; 2700; ,Does every patient need to be discussed at a multidisciplinary team meeting?,2013,in,Providing study background,,
223,Clinical Transplantation,2747; ,A survey of South Asian attitudes to organ donation in the United Kingdom,2013,in,Providing study background,y,
224,CMAJ,2700; ,Effectiveness of the influenza vaccine in preventing admission to hospital and death in people with type 2 diabetes,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
225,Communicatio,3315; ,Managing communication surrounding tungiasis stigma in Kenya,2015,in,Providing study background,,
226,Communist and Post-Communist Studies,3312; 3303; ,From the Communist Party to the Front de gauche. The French radical left from 1989 to 2014,2016,in,main data source for new analysis,,
227,Comparative Clinical Pathology,2734; 2702; ,Biochemical profiles of Indian donkey population located in six different agro-climatic zones,2016,in,Providing study background,,
228,Complementary Therapies in Medicine,2902; 2707; 3603; ,"Profile of the complementary and alternative medicine workforce across Australia, New Zealand, Canada, United States and United Kingdom",2013,in,main data source for new analysis,,
