Item Title,Publication Year,Publication Title,in/out,use types,census,notes,,,,,,,,,,,,,,,
"A Multicomponent, School-Based Intervention, the Shaping Healthy Choices Program, Improves Nutrition-Related Outcomes",2017,Journal of Nutrition Education and Behavior,in,aiding result interpreting,,,,,,,,,,,,,,,,,
A multilevel spatial interaction model of transit flows incorporating spatial and network autocorrelation,2017,Journal of Transport Geography,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Health Promotion at the Ballpark: Peanuts, Popcorn, and Mighty Molar",2017,Health Promotion Practice,in,Providing study background,,,,,,,,,,,,,,,,,
Neighborhood trauma due to violence: A multilevel analysis,2017,Journal of Health Care for the Poor and Underserved,in,Providing study background,,,,,,,,,,,,,,,,,
Anonymizing NYC taxi data: Does it matter?,2016,"Proceedings - 3rd IEEE International Conference on Data Science and Advanced Analytics, DSAA 2016",in,"ancillary data source for new analysis (e.g., as base map)",,edge case,,,,,,,,,,,,,,,
Association between Online Physician Ratings and Cardiac Surgery Mortality,2016,Circulation: Cardiovascular Quality and Outcomes,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Causal effects of built environment characteristics on travel behaviour: A longitudinal approach,2016,European Journal of Transport and Infrastructure Research,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Risk is for the rich? Childhood vaccination resistance and a Culture of Health,2016,Social Science and Medicine,in,main data source for new analysis,,,,,,,,,,,,,,,,,
FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS鈥?RESIDENTIAL AREAS ON CRIME LOCATION CHOICE*,2016,Criminology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Under-supply of schooling in the gentrified and regenerated inner city,2016,Cities,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Analysis of Transurethral Resection of the Prostate Costs across New York State Hospitals Using Severity of Illness Score,2016,Urology Practice,in,main data source for new analysis,,,,,,,,,,,,,,,,,
A primrose path? Moderating effects of age and gender in the association between green space and mental health,2016,International Journal of Environmental Research and Public Health,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Homogeneity tests of Tiebout sorting: A case study at the interface of city and suburb,2016,Urban Studies,in,main data source for new analysis,,,,,,,,,,,,,,,,,
What will interference be like in 5G HetNets?,2016,Physical Communication,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Inference attacks on property-preserving encrypted databases,2015,Proceedings of the ACM Conference on Computer and Communications Security,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Fuel consumption optimization in air transport: a review, classification, critique, simple meta-analysis, and future research implications",2015,European Transport Research Review,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Biting Once, Twice: THE Influence of Prior on Subsequent Crime Location Choice",2015,Criminology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"The effect of severity of illness on total joint arthroplasty costs across new york state hospitals: An analysis of 172,738 cases",2015,Journal of Arthroplasty,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Mortality of People with Intellectual and Developmental Disabilities from Select US State Disability Service Systems and Medical Claims Data,2015,Journal of Applied Research in Intellectual Disabilities,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The Effect of Severity of Disease on Cost Burden of 30-Day Readmissions Following Total Joint Arthroplasty (TJA),2014,Journal of Arthroplasty,in,aiding result interpreting,,,,,,,,,,,,,,,,,
"The inverse relationship between the constitutionality and effectiveness of New York City ""stop and frisk""",2014,Boston University Law Review,in,main data source for new analysis,,used as an evidence to test proposed theory,,,,,,,,,,,,,,,
Environmental and health disparities in residential communities of New Orleans: The need for soil lead intervention to advance primary prevention,2013,Environment International,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Causes and consequences of regional population decline for primary schools,2012,Tijdschrift voor Economische en Sociale Geografie,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The water footprint of hydroelectricity: A methodological comparison from a case study in New Zealand,2011,Journal of Cleaner Production,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Sharp-tailed grouse nest survival and nest predator habitat use in North Dakota's Bakken oil field,2017,PLoS ONE,in,main data source for new analysis,,funded by nd.gov/gis,,,,,,,,,,,,,,,
Generating Nested Wetland Catchments with Readily-Available Digital Elevation Data May Improve Evaluations of Land-Use Change on Wetlands,2014,Wetlands,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Effects of Prohibition and Decriminalization on Drug Market Conflict: Comparing Street Dealers, Coffeeshops, and Caf茅s in Amsterdam",2016,Criminology and Public Policy,in,Providing study background,,,,,,,,,,,,,,,,,
Use of a knowledge broker to establish healthy public policies in a city district: A developmental evaluation,2016,BMC Public Health,in,Providing study background,,,,,,,,,,,,,,,,,
HIV indicator condition-guided testing to reduce the number of undiagnosed patients and prevent late presentation in a high-prevalence area: A case-control study in primary care,2015,Sexually Transmitted Infections,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Psychological distress in the hospital setting: A comparison between native Dutch and immigrant patients,2015,PLoS ONE,in,Providing study background,,,,,,,,,,,,,,,,,
Development of the HELIUS food frequency questionnaires: Ethnic-specific questionnaires to assess the diet of a multiethnic population in the Netherlands,2015,European Journal of Clinical Nutrition,in,Providing study background,,,,,,,,,,,,,,,,,
Taking the tyke on a bike: Mothers鈥?and childless women鈥檚 space鈥搕ime geographies in Amsterdam compared,2015,Environment and Planning A,in,aiding result interpreting,,multi-source,,,,,,,,,,,,,,,
Questioning Ethnic Identity: Interviewer Effects in Research About Immigrants鈥?Self-Definition and Feelings of Belonging,2015,Journal of Cross-Cultural Psychology,in,Providing study background,,,,,,,,,,,,,,,,,
Diverse cities and good citizenship: how local governments in the Netherlands recast national integration discourse,2015,Ethnic and Racial Studies,in,Providing study background,,,,,,,,,,,,,,,,,
"Housing for the poor in a neo-liberalising just city: Still affordable, but increasingly inaccessible",2015,Tijdschrift voor Economische en Sociale Geografie,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Is channel segmentation necessary to reach a multiethnic population with weight-related health promotion? An analysis of use and perception of communication channels,2015,Ethnicity and Health,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Health-related quality of life in perinatally HIV-infected children in the Netherlands,2015,AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Anti-Islam propaganda and its effects: Fitna, fear-Based communication and the moderating role of public debate",2014,Middle East Journal of Culture and Communication,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
The symbolic politics of gentrification: The restructuring of stigmatized neighborhoods in Amsterdam and Istanbul,2014,Environment and Planning A,in,Providing study background,,,,,,,,,,,,,,,,,
"Heritage, blackness and afro-cool styling africanness in Amsterdam",2014,African Diaspora,in,Providing study background,,,,,,,,,,,,,,,,,
Vitamin D deficiency among native Dutch and first- and second-generation non-Western immigrants,2014,European Journal of Pediatrics,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Differences in Body Fat Distribution Play a Role in the Lower Levels of Elevated Fasting Glucose amongst Ghanaian Migrant Women Compared to Men,2013,PLoS ONE,in,Providing study background,,,,,,,,,,,,,,,,,
"Culture Wars, Revanchism, Moral Panics and the Creative City. A Reconstruction of a Decline of Tolerant Public Policy: The Case of Dutch Anti-squatting Legislation",2013,Urban Studies,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Similar associations between personality dimensions and anxiety or depressive disorders in a population study of Turkish-Dutch, moroccan-dutch, and native dutch subjects",2013,Journal of Nervous and Mental Disease,in,Providing study background,,,,,,,,,,,,,,,,,
"Declining incidence of hepatitis A in Amsterdam (The Netherlands), 1996-2011: Second generation migrants still an important risk group for virus importation",2013,Vaccine,in,aiding result interpreting,,one data source used twice,,,,,,,,,,,,,,,
"Do sexual risk behaviour, risk perception and testing behaviour differ across generations of migrants?",2013,European Journal of Public Health,in,Providing study background,,,,,,,,,,,,,,,,,
Ethnic differences in self-rated overweight and association with reporting weight loss action: The SUNSET study,2012,European Journal of Public Health,in,Providing study background,,,,,,,,,,,,,,,,,
Deconstructing Coincidence: How Middle-Class Households use Various Forms of Capital to Find a Home,2012,"Housing, Theory and Society",in,Providing study background,,,,,,,,,,,,,,,,,
Social stratification and sports in Amsterdam in the 20th century,2012,International Review for the Sociology of Sport,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The impact of inland ships and recreational boats on measured NO x and ultrafine particle concentrations along the waterways,2012,Atmospheric Environment,in,Providing study background,,,,,,,,,,,,,,,,,
Influences on body weight of female Moroccan migrants in the Netherlands: A qualitative study,2012,Health and Place,in,Providing study background,,,,,,,,,,,,,,,,,
"The effectiveness of a perinatal education programme on smoking, infant care, and psychosocial health for ethnic Turkish women",2012,Midwifery,in,Providing study background,,,,,,,,,,,,,,,,,
